"Category";"locus_tag"
"Glycolysis / Gluconeogenesis";"b0114"
"Glycolysis / Gluconeogenesis";"b0115"
"Glycolysis / Gluconeogenesis";"b0116"
"Glycolysis / Gluconeogenesis";"b0325"
"Glycolysis / Gluconeogenesis";"b0356"
"Glycolysis / Gluconeogenesis";"b0688"
"Glycolysis / Gluconeogenesis";"b0755"
"Glycolysis / Gluconeogenesis";"b0756"
"Glycolysis / Gluconeogenesis";"b1002"
"Glycolysis / Gluconeogenesis";"b1101"
"Glycolysis / Gluconeogenesis";"b1241"
"Glycolysis / Gluconeogenesis";"b1378"
"Glycolysis / Gluconeogenesis";"b1478"
"Glycolysis / Gluconeogenesis";"b1621"
"Glycolysis / Gluconeogenesis";"b1676"
"Glycolysis / Gluconeogenesis";"b1702"
"Glycolysis / Gluconeogenesis";"b1723"
"Glycolysis / Gluconeogenesis";"b1734"
"Glycolysis / Gluconeogenesis";"b1779"
"Glycolysis / Gluconeogenesis";"b1780"
"Glycolysis / Gluconeogenesis";"b1854"
"Glycolysis / Gluconeogenesis";"b2097"
"Glycolysis / Gluconeogenesis";"b2388"
"Glycolysis / Gluconeogenesis";"b2417"
"Glycolysis / Gluconeogenesis";"b2453"
"Glycolysis / Gluconeogenesis";"b2715"
"Glycolysis / Gluconeogenesis";"b2716"
"Glycolysis / Gluconeogenesis";"b2779"
"Glycolysis / Gluconeogenesis";"b2901"
"Glycolysis / Gluconeogenesis";"b2925"
"Glycolysis / Gluconeogenesis";"b2926"
"Glycolysis / Gluconeogenesis";"b2930"
"Glycolysis / Gluconeogenesis";"b3403"
"Glycolysis / Gluconeogenesis";"b3588"
"Glycolysis / Gluconeogenesis";"b3589"
"Glycolysis / Gluconeogenesis";"b3612"
"Glycolysis / Gluconeogenesis";"b3721"
"Glycolysis / Gluconeogenesis";"b3879"
"Glycolysis / Gluconeogenesis";"b3885"
"Glycolysis / Gluconeogenesis";"b3916"
"Glycolysis / Gluconeogenesis";"b3919"
"Glycolysis / Gluconeogenesis";"b3925"
"Glycolysis / Gluconeogenesis";"b4025"
"Glycolysis / Gluconeogenesis";"b4069"
"Glycolysis / Gluconeogenesis";"b4232"
"Glycolysis / Gluconeogenesis";"b4269"
"Glycolysis / Gluconeogenesis";"b4395"
"Citrate cycle (TCA cycle)";"b0114"
"Citrate cycle (TCA cycle)";"b0115"
"Citrate cycle (TCA cycle)";"b0116"
"Citrate cycle (TCA cycle)";"b0118"
"Citrate cycle (TCA cycle)";"b0720"
"Citrate cycle (TCA cycle)";"b0721"
"Citrate cycle (TCA cycle)";"b0722"
"Citrate cycle (TCA cycle)";"b0723"
"Citrate cycle (TCA cycle)";"b0724"
"Citrate cycle (TCA cycle)";"b0726"
"Citrate cycle (TCA cycle)";"b0727"
"Citrate cycle (TCA cycle)";"b0728"
"Citrate cycle (TCA cycle)";"b0729"
"Citrate cycle (TCA cycle)";"b0771"
"Citrate cycle (TCA cycle)";"b1136"
"Citrate cycle (TCA cycle)";"b1276"
"Citrate cycle (TCA cycle)";"b1378"
"Citrate cycle (TCA cycle)";"b1611"
"Citrate cycle (TCA cycle)";"b1612"
"Citrate cycle (TCA cycle)";"b1675"
"Citrate cycle (TCA cycle)";"b2210"
"Citrate cycle (TCA cycle)";"b2929"
"Citrate cycle (TCA cycle)";"b3236"
"Citrate cycle (TCA cycle)";"b3403"
"Citrate cycle (TCA cycle)";"b4122"
"Citrate cycle (TCA cycle)";"b4151"
"Citrate cycle (TCA cycle)";"b4152"
"Citrate cycle (TCA cycle)";"b4153"
"Citrate cycle (TCA cycle)";"b4154"
"Pentose phosphate pathway";"b0008"
"Pentose phosphate pathway";"b0124"
"Pentose phosphate pathway";"b0688"
"Pentose phosphate pathway";"b0767"
"Pentose phosphate pathway";"b1207"
"Pentose phosphate pathway";"b1723"
"Pentose phosphate pathway";"b1850"
"Pentose phosphate pathway";"b1851"
"Pentose phosphate pathway";"b1852"
"Pentose phosphate pathway";"b2029"
"Pentose phosphate pathway";"b2097"
"Pentose phosphate pathway";"b2464"
"Pentose phosphate pathway";"b2465"
"Pentose phosphate pathway";"b2914"
"Pentose phosphate pathway";"b2925"
"Pentose phosphate pathway";"b2930"
"Pentose phosphate pathway";"b2935"
"Pentose phosphate pathway";"b3380"
"Pentose phosphate pathway";"b3386"
"Pentose phosphate pathway";"b3437"
"Pentose phosphate pathway";"b3526"
"Pentose phosphate pathway";"b3553"
"Pentose phosphate pathway";"b3752"
"Pentose phosphate pathway";"b3916"
"Pentose phosphate pathway";"b3925"
"Pentose phosphate pathway";"b4025"
"Pentose phosphate pathway";"b4090"
"Pentose phosphate pathway";"b4094"
"Pentose phosphate pathway";"b4232"
"Pentose phosphate pathway";"b4268"
"Pentose phosphate pathway";"b4381"
"Pentose phosphate pathway";"b4383"
"Pentose and glucuronate interconversions";"b0061"
"Pentose and glucuronate interconversions";"b0062"
"Pentose and glucuronate interconversions";"b0063"
"Pentose and glucuronate interconversions";"b0268"
"Pentose and glucuronate interconversions";"b0269"
"Pentose and glucuronate interconversions";"b0772"
"Pentose and glucuronate interconversions";"b1236"
"Pentose and glucuronate interconversions";"b1521"
"Pentose and glucuronate interconversions";"b1542"
"Pentose and glucuronate interconversions";"b1580"
"Pentose and glucuronate interconversions";"b1581"
"Pentose and glucuronate interconversions";"b1617"
"Pentose and glucuronate interconversions";"b1774"
"Pentose and glucuronate interconversions";"b2028"
"Pentose and glucuronate interconversions";"b2042"
"Pentose and glucuronate interconversions";"b2800"
"Pentose and glucuronate interconversions";"b2802"
"Pentose and glucuronate interconversions";"b2803"
"Pentose and glucuronate interconversions";"b2842"
"Pentose and glucuronate interconversions";"b2843"
"Pentose and glucuronate interconversions";"b3091"
"Pentose and glucuronate interconversions";"b3092"
"Pentose and glucuronate interconversions";"b3386"
"Pentose and glucuronate interconversions";"b3564"
"Pentose and glucuronate interconversions";"b3565"
"Pentose and glucuronate interconversions";"b3575"
"Pentose and glucuronate interconversions";"b3580"
"Pentose and glucuronate interconversions";"b3581"
"Pentose and glucuronate interconversions";"b3582"
"Pentose and glucuronate interconversions";"b3583"
"Pentose and glucuronate interconversions";"b3902"
"Pentose and glucuronate interconversions";"b3904"
"Pentose and glucuronate interconversions";"b4196"
"Pentose and glucuronate interconversions";"b4197"
"Pentose and glucuronate interconversions";"b4198"
"Pentose and glucuronate interconversions";"b4297"
"Pentose and glucuronate interconversions";"b4298"
"Pentose and glucuronate interconversions";"b4322"
"Pentose and glucuronate interconversions";"b4323"
"Fructose and mannose metabolism";"b0394"
"Fructose and mannose metabolism";"b1613"
"Fructose and mannose metabolism";"b1723"
"Fructose and mannose metabolism";"b1727"
"Fructose and mannose metabolism";"b1774"
"Fructose and mannose metabolism";"b1817"
"Fructose and mannose metabolism";"b1818"
"Fructose and mannose metabolism";"b1819"
"Fructose and mannose metabolism";"b1955"
"Fructose and mannose metabolism";"b2048"
"Fructose and mannose metabolism";"b2049"
"Fructose and mannose metabolism";"b2052"
"Fructose and mannose metabolism";"b2053"
"Fructose and mannose metabolism";"b2097"
"Fructose and mannose metabolism";"b2167"
"Fructose and mannose metabolism";"b2168"
"Fructose and mannose metabolism";"b2245"
"Fructose and mannose metabolism";"b2247"
"Fructose and mannose metabolism";"b2293"
"Fructose and mannose metabolism";"b2702"
"Fructose and mannose metabolism";"b2703"
"Fructose and mannose metabolism";"b2704"
"Fructose and mannose metabolism";"b2705"
"Fructose and mannose metabolism";"b2800"
"Fructose and mannose metabolism";"b2802"
"Fructose and mannose metabolism";"b2803"
"Fructose and mannose metabolism";"b2925"
"Fructose and mannose metabolism";"b2930"
"Fructose and mannose metabolism";"b2933"
"Fructose and mannose metabolism";"b2934"
"Fructose and mannose metabolism";"b3565"
"Fructose and mannose metabolism";"b3599"
"Fructose and mannose metabolism";"b3600"
"Fructose and mannose metabolism";"b3902"
"Fructose and mannose metabolism";"b3903"
"Fructose and mannose metabolism";"b3904"
"Fructose and mannose metabolism";"b3916"
"Fructose and mannose metabolism";"b3919"
"Fructose and mannose metabolism";"b3925"
"Fructose and mannose metabolism";"b4084"
"Fructose and mannose metabolism";"b4085"
"Fructose and mannose metabolism";"b4090"
"Fructose and mannose metabolism";"b4232"
"Fructose and mannose metabolism";"b4465"
"Galactose metabolism";"b0344"
"Galactose metabolism";"b0403"
"Galactose metabolism";"b0688"
"Galactose metabolism";"b0756"
"Galactose metabolism";"b0757"
"Galactose metabolism";"b0758"
"Galactose metabolism";"b0759"
"Galactose metabolism";"b1236"
"Galactose metabolism";"b1723"
"Galactose metabolism";"b2036"
"Galactose metabolism";"b2042"
"Galactose metabolism";"b2091"
"Galactose metabolism";"b2093"
"Galactose metabolism";"b2094"
"Galactose metabolism";"b2095"
"Galactose metabolism";"b2096"
"Galactose metabolism";"b2388"
"Galactose metabolism";"b3076"
"Galactose metabolism";"b3077"
"Galactose metabolism";"b3132"
"Galactose metabolism";"b3133"
"Galactose metabolism";"b3136"
"Galactose metabolism";"b3137"
"Galactose metabolism";"b3138"
"Galactose metabolism";"b3139"
"Galactose metabolism";"b3140"
"Galactose metabolism";"b3693"
"Galactose metabolism";"b3879"
"Galactose metabolism";"b3916"
"Galactose metabolism";"b4119"
"Galactose metabolism";"b4302"
"Galactose metabolism";"b4304"
"Galactose metabolism";"b4477"
"Galactose metabolism";"b4478"
"Galactose metabolism";"b4565"
"Ascorbate and aldarate metabolism";"b0061"
"Ascorbate and aldarate metabolism";"b1617"
"Ascorbate and aldarate metabolism";"b2028"
"Ascorbate and aldarate metabolism";"b2787"
"Ascorbate and aldarate metabolism";"b3126"
"Ascorbate and aldarate metabolism";"b3128"
"Ascorbate and aldarate metabolism";"b3575"
"Ascorbate and aldarate metabolism";"b3580"
"Ascorbate and aldarate metabolism";"b3581"
"Ascorbate and aldarate metabolism";"b3582"
"Ascorbate and aldarate metabolism";"b3583"
"Ascorbate and aldarate metabolism";"b4192"
"Ascorbate and aldarate metabolism";"b4193"
"Ascorbate and aldarate metabolism";"b4194"
"Ascorbate and aldarate metabolism";"b4195"
"Ascorbate and aldarate metabolism";"b4196"
"Ascorbate and aldarate metabolism";"b4197"
"Ascorbate and aldarate metabolism";"b4198"
"Ascorbate and aldarate metabolism";"b4358"
"Fatty acid biosynthesis";"b0180"
"Fatty acid biosynthesis";"b0185"
"Fatty acid biosynthesis";"b0954"
"Fatty acid biosynthesis";"b1091"
"Fatty acid biosynthesis";"b1092"
"Fatty acid biosynthesis";"b1093"
"Fatty acid biosynthesis";"b1095"
"Fatty acid biosynthesis";"b1288"
"Fatty acid biosynthesis";"b1805"
"Fatty acid biosynthesis";"b2316"
"Fatty acid biosynthesis";"b2323"
"Fatty acid biosynthesis";"b3255"
"Fatty acid biosynthesis";"b3256"
"Fatty acid degradation";"b0221"
"Fatty acid degradation";"b0356"
"Fatty acid degradation";"b1241"
"Fatty acid degradation";"b1393"
"Fatty acid degradation";"b1478"
"Fatty acid degradation";"b1805"
"Fatty acid degradation";"b2224"
"Fatty acid degradation";"b2341"
"Fatty acid degradation";"b2342"
"Fatty acid degradation";"b2542"
"Fatty acid degradation";"b2836"
"Fatty acid degradation";"b2844"
"Fatty acid degradation";"b3589"
"Fatty acid degradation";"b3845"
"Fatty acid degradation";"b3846"
"Secondary bile acid biosynthesis";"b1619"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b0593"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b0662"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b1004"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b1686"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2232"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2260"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2261"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2262"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2263"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2264"
"Ubiquinone and other terpenoid-quinone biosynthesis";"b2265"
